"timestamp","0ANAB7 | Value","0ANAB7 | Quality","0BNAB9 | Value","0BNAB9 | Quality","0BNABC | Value","0BNABC | Quality","0BNLBC | Value","0BNLBC | Quality","0BPVRD | Value","0BPVRD | Quality","0BPVRG | Value","0BPVRG | Quality","0CNABC | Value","0CNABC | Quality","0CNLBC | Value","0CNLBC | Quality","0CPVRD | Value","0CPVRD | Quality","0CPVRG | Value","0CPVRG | Quality","0ENABC | Value","0ENABC | Quality","0ENLBC | Value","0ENLBC | Quality","0EPVRD | Value","0EPVRD | Quality","0EPVRG | Value","0EPVRG | Quality","0EQL10 | Value","0EQL10 | Quality","0FNABC | Value","0FNABC | Quality","0FNLBC | Value","0FNLBC | Quality","0FPVRD | Value","0FPVRD | Quality","0FPVRG | Value","0FPVRG | Quality"
"2020-04-28 16:25:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","495.006                              ","1"
"2020-04-28 16:29:59+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","490.006                              ","1"
"2020-04-28 16:35:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","490.006                              ","1"
"2020-04-28 16:40:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","484.521                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.21881                              ","1","1.87395                              ","1","495.006                              ","1","490.006                              ","1"
"2020-04-28 16:45:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                         ","524288","1.67903                         ","524288","484.521                         ","524288","519.486                         ","524288","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.6454                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","490.006                              ","1"
"2020-04-28 16:49:59+03:00","2.9985                               ","1","na","na","1.85896                         ","524288","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2020-04-28 16:50:00+03:00","na","na","-.75                            ","524288","na","na","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.6454                              ","1","2.23381                         ","524288","1.87395                         ","524288","495.006                         ","524288","490.006                         ","524288"
"2020-04-28 16:55:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                         ","524288","1.67903                         ","524288","489.516                         ","524288","519.486                         ","524288","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.4689                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:00:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.3807                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:05:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.3807                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:09:59+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                         ","524288","1.48411                         ","524288","510.006                         ","524288","500.006                         ","524288","11.3807                         ","524288","na","na","na","na","na","na","na","na"
"2020-04-28 17:10:00+03:00","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:15:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:20:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:24:59+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","na","na","na","na","na","na","na","na"
"2020-04-28 17:25:00+03:00","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:30:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.85896                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:35:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:40:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:44:59+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","na","na","na","na","na","na","na","na"
"2020-04-28 17:45:00+03:00","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:50:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:55:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","485.006                              ","1"
"2020-04-28 17:59:59+03:00","2.9985                               ","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2020-04-28 18:00:00+03:00","na","na","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                         ","524288","1.67903                         ","524288","489.516                         ","524288","519.486                         ","524288","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.4689                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","495.006                              ","1"
"2020-04-28 18:05:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.15884                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.4689                              ","1","na","na","na","na","na","na","na","na"
